C:\Users\Zver>jps
3976 RemoteMavenServer36
4956 gc-demo.jar

C:\Users\Zver>jmap -histo 4956
 num     #instances         #bytes  class name (module)
 207:             1             24  sun.security.util.LazyCodeSourcePermissionCollection (java.base@16.0.1)
 208:             1             24  sun.util.locale.BaseLocale$Cache (java.base@16.0.1)
 209:             1             16  [Ljava.lang.Throwable; (java.base@16.0.1)
 210:             1             16  [Ljava.security.cert.Certificate; (java.base@16.0.1)
 211:             1             16  java.io.FileDescriptor$1 (java.base@16.0.1)
 212:             1             16  java.io.RandomAccessFile$2 (java.base@16.0.1)
 213:             1             16  java.lang.CharacterDataLatin1 (java.base@16.0.1)
 214:             1             16  java.lang.Runtime (java.base@16.0.1)
 215:             1             16  java.lang.String$CaseInsensitiveComparator (java.base@16.0.1)
 216:             1             16  java.lang.StringCoding$1 (java.base@16.0.1)
 217:             1             16  java.lang.System$2 (java.base@16.0.1)
 218:             1             16  java.lang.Terminator$1 (java.base@16.0.1)
 219:             1             16  java.lang.invoke.MemberName$Factory (java.base@16.0.1)
 220:             1             16  java.lang.invoke.StringConcatFactory$1 (java.base@16.0.1)
 221:             1             16  java.lang.invoke.StringConcatFactory$2 (java.base@16.0.1)
 222:             1             16  java.lang.invoke.StringConcatFactory$3 (java.base@16.0.1)
 223:             1             16  java.lang.module.ModuleDescriptor$1 (java.base@16.0.1)
 224:             1             16  java.lang.ref.Cleaner (java.base@16.0.1)
 225:             1             16  java.lang.ref.Cleaner$1 (java.base@16.0.1)
 226:             1             16  java.lang.ref.Reference$1 (java.base@16.0.1)
 227:             1             16  java.lang.reflect.ReflectAccess (java.base@16.0.1)
 228:             1             16  java.net.URI$1 (java.base@16.0.1)
 229:             1             16  java.net.URL$3 (java.base@16.0.1)
 230:             1             16  java.net.URL$DefaultFactory (java.base@16.0.1)
 231:             1             16  java.nio.Bits$1 (java.base@16.0.1)
 232:             1             16  java.nio.Buffer$1 (java.base@16.0.1)
 233:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl (java.base@16.0.1)
 234:             1             16  java.security.SecureClassLoader$CodeSourceKey (java.base@16.0.1)
 235:             1             16  java.util.Collections$EmptyList (java.base@16.0.1)
 236:             1             16  java.util.Collections$EmptySet (java.base@16.0.1)
 237:             1             16  java.util.Collections$UnmodifiableSet (java.base@16.0.1)
 238:             1             16  java.util.HashMap$EntrySet (java.base@16.0.1)
 239:             1             16  java.util.IdentityHashMap$KeySet (java.base@16.0.1)
 240:             1             16  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@16.0.1)
 241:             1             16  java.util.jar.Attributes (java.base@16.0.1)
 242:             1             16  java.util.jar.JavaUtilJarAccessImpl (java.base@16.0.1)
 243:             1             16  java.util.zip.ZipFile$1 (java.base@16.0.1)
 244:             1             16  jdk.internal.misc.ScopedMemoryAccess (java.base@16.0.1)
 245:             1             16  jdk.internal.misc.TerminatingThreadLocal$1 (java.base@16.0.1)
 246:             1             16  jdk.internal.misc.Unsafe (java.base@16.0.1)
 247:             1             16  jdk.internal.module.ArchivedBootLayer (java.base@16.0.1)
 248:             1             16  jdk.internal.module.ModuleLoaderMap$Mapper (java.base@16.0.1)
 249:             1             16  jdk.internal.module.ModulePatcher (java.base@16.0.1)
 250:             1             16  jdk.internal.module.ModuleTarget (java.base@16.0.1)
 251:             1             16  jdk.internal.perf.Perf (java.base@16.0.1)
 252:             1             16  jdk.internal.reflect.ReflectionFactory (java.base@16.0.1)
 253:             1             16  sun.net.www.protocol.file.Handler (java.base@16.0.1)
 254:             1             16  sun.net.www.protocol.jar.Handler (java.base@16.0.1)
 255:             1             16  sun.nio.fs.NativeBuffers$1 (java.base@16.0.1)
 256:             1             16  sun.nio.fs.WindowsFileSystemProvider (java.base@16.0.1)
Total      12310467      880430312


C:\Users\Zver>jstat -gc 4956 1s 10
    S0C         S1C         S0U         S1U          EC           EU           OC           OU          MC         MU       CCSC      CCSU     YGC     YGCT		FGC    FGCT     CGC    CGCT       GCT
        0,0     22528,0         0,0     22528,0     315392,0     240640,0    1034240,0     449536,0      448,0      234,8     128,0       8,1    871   108,064   0     0,000   294     0,359   108,424
        0,0     30720,0         0,0     30720,0     159744,0     123904,0     704512,0     119808,0      448,0      234,8     128,0       8,1    874   108,458   0     0,000   295     0,361   108,819
        0,0     23552,0         0,0     23552,0     318464,0     256000,0    1034240,0     444416,0      448,0      234,8     128,0       8,1    877   108,813   0     0,000   296     0,362   109,175
        0,0     31744,0         0,0     31744,0     163840,0     133120,0     692224,0     119296,0      448,0      234,8     128,0       8,1    880   109,206   0     0,000   297     0,364   109,570
        0,0     22528,0         0,0     22528,0     315392,0     259072,0    1034240,0     448000,0      448,0      234,8     128,0       8,1    883   109,567   0     0,000   298     0,364   109,931
        0,0     30720,0         0,0     30720,0     160768,0     147456,0     703488,0     120320,0      448,0      234,8     128,0       8,1    886   109,962   0     0,000   299     0,366   110,328
        0,0     22528,0         0,0     22528,0     318464,0     267264,0    1035264,0     444416,0      448,0      234,8     128,0       8,1    889   110,321   0     0,000   300     0,366   110,687
        0,0     31744,0         0,0     31744,0     163840,0     151552,0     689152,0     119296,0      448,0      234,8     128,0       8,1    892   110,711   0     0,000   301     0,368   111,079
        0,0     22528,0         0,0     40960,0     267264,0          0,0    1061888,0     550400,0      448,0      234,8     128,0       8,1    896   111,211   0     0,000   302     0,369   111,579
        0,0     22528,0         0,0     22528,0     227328,0      77824,0     645120,0     227328,0      448,0      234,8     128,0       8,1    899   111,584   0     0,000   303     0,370   111,954

C:\Users\Zver>
